Date,Open,High,Low,Close,Volume,Adj Close
2013-10-01,41.95,42.07,41.79,41.85,3864500,41.85
2013-09-30,42.11,42.27,41.82,42.03,6252500,42.03
2013-09-27,42.56,42.80,42.48,42.80,3866600,42.80
2013-09-26,42.53,42.80,42.50,42.66,9275000,42.66
2013-09-25,42.25,42.53,42.22,42.39,3235900,42.39
2013-09-24,42.38,42.47,42.21,42.28,2838200,42.28
2013-09-23,42.46,42.51,42.16,42.27,2936500,42.27
2013-09-20,42.85,42.86,42.40,42.46,6666200,42.46
2013-09-19,42.39,42.43,42.20,42.33,3905700,42.33
2013-09-18,42.02,42.54,41.78,42.42,5255700,42.42
2013-09-17,42.04,42.18,41.95,42.02,2299800,42.02
2013-09-16,42.58,42.60,42.10,42.12,4303600,42.12
2013-09-13,42.00,42.13,41.88,41.94,3611900,41.94
2013-09-12,42.31,42.42,42.05,42.10,4721600,42.10
2013-09-11,42.06,42.34,42.05,42.29,5092100,42.29
2013-09-10,41.86,42.04,41.77,42.02,2818200,42.02
2013-09-09,41.83,41.99,41.77,41.89,2436500,41.89
2013-09-06,41.74,41.92,41.50,41.82,3407200,41.82
2013-09-05,41.39,41.71,41.38,41.55,2334100,41.55
2013-09-04,41.30,41.60,41.28,41.41,2717800,41.41
2013-09-03,41.39,41.45,41.08,41.33,3715600,41.33
2013-08-30,41.49,41.53,41.25,41.30,3403700,41.30
2013-08-29,41.83,41.91,41.58,41.64,3688000,41.64
2013-08-28,41.97,42.22,41.84,42.12,5342800,42.12
2013-08-27,41.36,41.78,41.34,41.47,3385000,41.47
2013-08-26,41.54,41.55,41.29,41.36,2703500,41.36
2013-08-23,41.16,41.54,41.11,41.51,4139600,41.51
2013-08-22,40.82,40.99,40.75,40.91,2808300,40.91
2013-08-21,40.84,40.89,40.51,40.53,4296800,40.53
2013-08-20,41.02,41.13,40.90,40.90,4354200,40.90
2013-08-19,41.29,41.35,41.05,41.10,3633800,41.10
2013-08-16,41.32,41.41,41.19,41.32,3621000,41.32
2013-08-15,41.10,41.47,41.01,41.27,4346600,41.27
2013-08-14,41.64,41.71,41.33,41.34,6215500,41.34
2013-08-13,41.26,41.43,41.05,41.39,4416900,41.39
2013-08-12,41.25,41.31,41.03,41.08,3665300,41.08
2013-08-09,41.34,41.48,41.23,41.27,3004900,41.27
2013-08-08,41.36,41.45,41.11,41.28,3376500,41.28
2013-08-07,41.47,41.65,41.23,41.23,5313900,41.23
2013-08-06,41.91,41.96,41.72,41.84,5149400,41.30
2013-08-05,41.91,42.04,41.81,41.97,5042400,41.43
2013-08-02,41.82,41.94,41.66,41.93,4654600,41.39
2013-08-01,41.57,41.83,41.51,41.72,6300000,41.18
2013-07-31,41.64,41.75,41.37,41.44,7895200,40.91
2013-07-30,41.65,41.83,41.26,41.74,15013400,41.20
2013-07-29,43.38,43.41,42.96,43.12,4147800,42.56
2013-07-26,43.61,43.68,43.34,43.58,3247900,43.02
2013-07-25,43.46,43.73,43.41,43.69,2757500,43.13
2013-07-24,43.74,43.75,43.35,43.44,3815100,42.88
2013-07-23,43.55,43.64,43.34,43.55,4179600,42.99
2013-07-22,43.08,43.38,43.06,43.20,5127000,42.64
2013-07-19,42.90,43.09,42.80,43.01,5239700,42.45
2013-07-18,42.88,43.01,42.63,42.71,6091000,42.16
2013-07-17,42.57,42.70,42.44,42.55,3015600,42.00
2013-07-16,42.36,42.54,42.15,42.54,4715200,41.99
2013-07-15,42.21,42.38,42.12,42.14,4941200,41.60
2013-07-12,42.29,42.35,42.14,42.19,4995300,41.65
